iter	Passed	Remaining
321	648	1366
322	650	1363
323	651	1359
324	653	1356
325	655	1354
326	656	1351
327	658	1348
328	660	1346
329	661	1342
330	662	1339
331	664	1336
332	666	1334
333	667	1331
334	669	1328
335	670	1325
336	672	1322
337	673	1319
338	675	1316
339	676	1313
340	677	1309
341	679	1306
342	680	1303
343	681	1300
344	683	1297
345	684	1294
346	685	1290
347	687	1288
348	689	1285
349	690	1281
350	691	1278
351	692	1275
352	694	1272
353	695	1269
354	696	1266
355	698	1262
356	699	1260
357	701	1257
358	702	1254
359	703	1251
360	704	1247
361	706	1244
362	707	1241
363	709	1238
364	710	1235
365	713	1236
366	717	1238
367	719	1236
368	722	1234
369	724	1232
370	726	1231
371	728	1229
372	730	1227
373	731	1224
374	732	1220
375	733	1217
376	735	1216
377	737	1213
378	739	1211
379	741	1209
380	742	1206
381	744	1203
382	745	1200
383	746	1198
384	748	1195
385	749	1192
386	751	1190
387	753	1187
388	754	1185
389	755	1182
390	757	1179
391	758	1176
392	759	1173
393	761	1170
394	762	1167
395	763	1164
396	764	1161
397	766	1159
398	767	1156
399	769	1153
400	770	1150
401	771	1147
402	772	1145
403	774	1142
404	775	1139
405	777	1137
406	778	1134
407	779	1131
408	781	1129
409	782	1126
410	783	1123
411	784	1120
412	786	1117
413	787	1115
414	789	1112
415	790	1110
416	792	1107
417	793	1104
418	794	1102
419	796	1099
420	797	1096
421	798	1093
422	799	1091
423	801	1088
424	802	1085
425	804	1083
426	805	1080
427	806	1078
428	807	1075
429	809	1072
430	810	1069
431	811	1066
432	813	1064
433	814	1062
434	815	1059
435	817	1057
436	818	1054
437	819	1051
438	821	1049
439	822	1046
440	823	1044
441	825	1041
442	826	1039
443	828	1037
444	829	1034
445	831	1032
446	832	1029
447	833	1026
448	834	1024
449	836	1021
450	837	1019
451	838	1017
452	840	1014
453	841	1012
454	843	1009
