iter	Passed	Remaining
773	1019	297
774	1021	296
775	1023	295
776	1024	294
777	1026	292
778	1027	291
779	1028	290
780	1029	288
781	1031	287
782	1032	286
783	1033	284
784	1035	283
785	1037	282
786	1038	281
787	1040	279
788	1041	278
789	1043	277
790	1044	275
791	1045	274
792	1046	273
793	1048	272
794	1049	270
795	1051	269
796	1053	268
797	1054	266
798	1055	265
799	1057	264
800	1058	263
801	1059	261
802	1060	260
803	1062	259
804	1064	257
805	1065	256
806	1067	255
807	1068	253
808	1069	252
809	1071	251
810	1072	249
811	1075	249
812	1077	247
813	1079	246
814	1080	245
815	1082	244
816	1083	242
817	1085	241
818	1086	240
819	1087	238
820	1089	237
821	1091	236
822	1093	235
823	1095	233
824	1096	232
825	1098	231
826	1099	230
827	1100	228
828	1102	227
829	1103	226
830	1105	224
831	1107	223
832	1108	222
833	1110	220
834	1111	219
835	1113	218
836	1114	217
837	1115	215
838	1117	214
839	1118	213
840	1120	211
841	1121	210
842	1122	209
843	1124	207
844	1125	206
845	1126	205
846	1127	203
847	1129	202
848	1130	201
849	1132	199
850	1133	198
851	1135	197
852	1136	195
853	1137	194
854	1139	193
855	1140	191
856	1141	190
857	1142	189
858	1144	187
859	1146	186
860	1147	185
861	1149	183
862	1150	182
863	1151	181
864	1152	179
865	1154	178
866	1155	177
867	1157	175
868	1158	174
869	1159	173
870	1161	171
871	1162	170
872	1163	169
873	1165	168
874	1166	166
875	1168	165
876	1169	164
877	1171	162
878	1173	161
879	1174	160
880	1175	158
881	1177	157
882	1178	156
883	1179	154
884	1180	153
885	1182	152
886	1183	150
887	1184	149
888	1186	148
889	1188	146
890	1190	145
891	1191	144
892	1192	142
893	1194	141
894	1195	140
895	1196	138
896	1198	137
897	1199	136
898	1201	134
899	1202	133
900	1203	132
901	1204	130
902	1206	129
903	1207	128
904	1208	126
905	1209	125
906	1210	124
907	1212	122
908	1213	121
909	1214	120
910	1216	118
911	1217	117
912	1218	116
913	1219	114
914	1221	113
915	1222	112
916	1223	110
917	1224	109
918	1225	108
919	1226	106
920	1228	105
921	1230	104
922	1231	102
923	1232	101
924	1233	100
925	1234	98
926	1235	97
927	1237	95
928	1238	94
929	1239	93
930	1240	91
931	1242	90
932	1243	89
933	1244	87
